a, b,c,src mommenttz,,,,,,a,b,b,
Europe/Monaco,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Riga,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Nicosia,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Rome,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Oslo,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/San_Marino,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Paris,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Sarajevo,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Podgorica,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Skopje,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Prague,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Sofia,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Riga,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Stockholm,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Rome,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Tallinn,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/San_Marino,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Tirane,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Sarajevo,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Uzhgorod,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Skopje,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Vaduz,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Sofia,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Vatican,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Stockholm,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Vienna,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Tallinn,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Vilnius,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Tirane,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Warsaw,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Uzhgorod,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Europe/Zagreb,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Vaduz,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Zaporozhye,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2
Europe/Vatican,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Europe/Zurich,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Vienna,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,GB,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Europe/Vilnius,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,GB-Eire,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0
Europe/Warsaw,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,MET,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Zagreb,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Poland,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1
Europe/Zaporozhye,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3,,,,,,Portugal,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0
Europe/Zurich,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,WET,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0
GB,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1,,,,,,Europe/Chisinau,2025-03-30T00:00:00Z,2025-03-30T03:00:00+03:00,EET 2
GB-Eire,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1,,,,,,Europe/Tiraspol,2025-03-30T00:00:00Z,2025-03-30T03:00:00+03:00,EET 2
MET,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Asia/Beirut,2025-03-29T22:00:00Z,2025-03-30T01:00:00+03:00,EET 2
Poland,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2,,,,,,Asia/Jerusalem,2025-03-28T00:00:00Z,2025-03-28T03:00:00+03:00,IST 2
Portugal,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1,,,,,,Asia/Tel_Aviv,2025-03-28T00:00:00Z,2025-03-28T03:00:00+03:00,IST 2
WET,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1,,,,,,Israel,2025-03-28T00:00:00Z,2025-03-28T03:00:00+03:00,IST 2
Africa/Cairo,2025-10-30T21:00:00Z,2025-10-30T23:00:00+02:00,EEST 3,,,,,,America/Adak,2025-03-09T12:00:00Z,2025-03-09T03:00:00-09:00,HST -10
Egypt,2025-10-30T21:00:00Z,2025-10-30T23:00:00+02:00,EEST 3,,,,,,America/Atka,2025-03-09T12:00:00Z,2025-03-09T03:00:00-09:00,HST -10
America/Miquelon,2025-11-02T04:00:00Z,2025-11-02T01:00:00-03:00,-02 -2,,,,,,US/Aleutian,2025-03-09T12:00:00Z,2025-03-09T03:00:00-09:00,HST -10
America/St_Johns,2025-11-02T04:30:00Z,2025-11-02T01:00:00-03:30,NDT -2.5,,,,,,America/Anchorage,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9
Canada/Newfoundland,2025-11-02T04:30:00Z,2025-11-02T01:00:00-03:30,NDT -2.5,,,,,,America/Juneau,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9
America/Glace_Bay,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3,,,,,,America/Metlakatla,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9
America/Goose_Bay,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3,,,,,,America/Nome,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9
America/Halifax,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3,,,,,,America/Sitka,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9
America/Havana,2025-11-02T05:00:00Z,2025-11-02T00:00:00-05:00,CDT -4,,,,,,America/Yakutat,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9
America/Moncton,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3,,,,,,US/Alaska,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9
America/Thule,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3,,,,,,America/Ensenada,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
Atlantic/Bermuda,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3,,,,,,America/Los_Angeles,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
Canada/Atlantic,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3,,,,,,America/Santa_Isabel,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
Cuba,2025-11-02T05:00:00Z,2025-11-02T00:00:00-05:00,CDT -4,,,,,,America/Tijuana,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
America/Detroit,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Vancouver,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
America/Fort_Wayne,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,Canada/Pacific,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
America/Grand_Turk,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,Mexico/BajaNorte,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
America/Indiana/Indianapolis,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,PST8PDT,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
America/Indiana/Marengo,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,US/Pacific,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8
America/Indiana/Petersburg,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Boise,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Indiana/Vevay,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Cambridge_Bay,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Indiana/Vincennes,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Ciudad_Juarez,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Indiana/Winamac,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Denver,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Indianapolis,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Edmonton,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Iqaluit,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Inuvik,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Kentucky/Louisville,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Shiprock,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Kentucky/Monticello,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Yellowknife,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Louisville,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,Canada/Mountain,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Montreal,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,MST7MDT,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Nassau,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,Navajo,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/New_York,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,US/Mountain,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7
America/Nipigon,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Chicago,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Pangnirtung,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Indiana/Knox,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Port-au-Prince,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Indiana/Tell_City,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Thunder_Bay,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Knox_IN,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Toronto,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Matamoros,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
Canada/Eastern,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Menominee,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
EST5EDT,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/North_Dakota/Beulah,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
US/East-Indiana,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/North_Dakota/Center,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
US/Eastern,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/North_Dakota/New_Salem,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
US/Michigan,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4,,,,,,America/Ojinaga,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Chicago,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Rainy_River,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Indiana/Knox,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Rankin_Inlet,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Indiana/Tell_City,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Resolute,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Knox_IN,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Winnipeg,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Matamoros,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,CST6CDT,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/Menominee,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,Canada/Central,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/North_Dakota/Beulah,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,US/Central,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/North_Dakota/Center,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,US/Indiana-Starke,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6
America/North_Dakota/New_Salem,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Detroit,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Ojinaga,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Fort_Wayne,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Rainy_River,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Grand_Turk,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Rankin_Inlet,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Indiana/Indianapolis,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Resolute,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Indiana/Marengo,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Winnipeg,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Indiana/Petersburg,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
CST6CDT,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Indiana/Vevay,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
Canada/Central,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Indiana/Vincennes,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
US/Central,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Indiana/Winamac,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
US/Indiana-Starke,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5,,,,,,America/Indianapolis,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Boise,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Iqaluit,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Cambridge_Bay,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Kentucky/Louisville,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Ciudad_Juarez,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Kentucky/Monticello,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Denver,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Louisville,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Edmonton,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Montreal,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Inuvik,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Nassau,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Shiprock,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/New_York,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Yellowknife,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Nipigon,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
Canada/Mountain,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Pangnirtung,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
MST7MDT,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Port-au-Prince,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
Navajo,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Thunder_Bay,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
US/Mountain,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6,,,,,,America/Toronto,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Ensenada,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,Canada/Eastern,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Los_Angeles,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,EST5EDT,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Santa_Isabel,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,US/East-Indiana,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Tijuana,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,US/Eastern,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
America/Vancouver,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,US/Michigan,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5
Canada/Pacific,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,America/Glace_Bay,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4
Mexico/BajaNorte,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,America/Goose_Bay,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4
PST8PDT,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,America/Halifax,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4
US/Pacific,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7,,,,,,America/Moncton,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4
America/Anchorage,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8,,,,,,America/Thule,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4
America/Juneau,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8,,,,,,Atlantic/Bermuda,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4
America/Metlakatla,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8,,,,,,Canada/Atlantic,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4
America/Nome,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8,,,,,,America/St_Johns,2025-03-09T05:30:00Z,2025-03-09T03:00:00-02:30,NST -3.5
America/Sitka,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8,,,,,,Canada/Newfoundland,2025-03-09T05:30:00Z,2025-03-09T03:00:00-02:30,NST -3.5
America/Yakutat,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8,,,,,,America/Havana,2025-03-09T05:00:00Z,2025-03-09T01:00:00-04:00,CST -5
US/Alaska,2025-11-02T10:00:00Z,2025-11-02T01:00:00-09:00,AKDT -8,,,,,,America/Miquelon,2025-03-09T05:00:00Z,2025-03-09T03:00:00-02:00,-03 -3
America/Adak,2025-11-02T11:00:00Z,2025-11-02T01:00:00-10:00,HDT -9,,,,,,Cuba,2025-03-09T05:00:00Z,2025-03-09T01:00:00-04:00,CST -5
America/Atka,2025-11-02T11:00:00Z,2025-11-02T01:00:00-10:00,HDT -9,,,,,,Africa/Casablanca,2025-02-23T02:00:00Z,2025-02-23T02:00:00Z,+01 1
US/Aleutian,2025-11-02T11:00:00Z,2025-11-02T01:00:00-10:00,HDT -9,,,,,,Africa/El_Aaiun,2025-02-23T02:00:00Z,2025-02-23T02:00:00Z,+01 1
America/Asuncion,2025-03-23T03:00:00Z,2025-03-22T23:00:00-04:00,,,,,,,America/Asuncion,2025-10-05T04:00:00Z,"
2025-10-05T01:00:00-03:00",
America/Asuncion,2025-10-05T04:00:00Z,"
2025-10-05T01:00:00-03:00",,,,,,,America/Asuncion,2025-03-23T03:00:00Z,2025-03-22T23:00:00-04:00,
